k,gen. intensity,granularity,n.u. entropy,discernibility,avg. class size,record-level sp. err, attribute-level sq. err.,experiment,method
9,0.6952023885831324,0.745435843730542,0.691440612834954,0.9997159924857518,0.9997238449201205,0.6176844019061389,0.9713186651031399,exp2,arx_nue
10,0.6842973867043889,0.7351860589008338,0.6794105885727356,0.9993856266059715,0.9996895983204759,0.45780729136096576,0.35547562175565894,exp2,arx_nue
2,0.9159894593884383,0.9209050013732512,0.8861053934005965,0.9999825665545635,0.9999657245170064,0.8316662555625799,0.9901845143082766,exp3,arx_nue
3,0.866126005987421,0.87225998731878,0.8223811146213065,0.9999254895553444,0.9999303436223879,0.754751468473046,0.9828918084418038,exp3,arx_nue
4,0.8327767708694038,0.8393879523423102,0.7823453915156733,0.9997990129758813,0.9998949932922433,0.7071891069980236,0.978778366916048,exp3,arx_nue
5,0.8091727510947057,0.8157115049744506,0.7527321352023327,0.9997689678211468,0.9998585797385038,0.6735583038813375,0.9742798195488812,exp3,arx_nue
6,0.7902671254239451,0.7971603396604721,0.7308147506659273,0.9996399539487041,0.9998239444539875,0.649122120852478,0.9714390893469973,exp3,arx_nue
7,0.7751392480604733,0.7819151367374122,0.7124939615213928,0.9996418855014618,0.9997888509849749,0.6284597011514521,0.968950239551827,exp3,arx_nue
8,0.761603391070933,0.7686803157859985,0.6970100510762344,0.9997748042546076,0.9997526774139774,0.6120881159661252,0.9680586801263448,exp3,arx_nue
9,0.7494501911897975,0.7571378055497942,0.6840942449899211,0.9995445438173799,0.9997186715747884,0.5995749360844718,0.9662062646615268,exp3,arx_nue
10,0.7384512521274011,0.7458304161675089,0.6710712654745317,0.9994454728603964,0.9996835880367136,0.5866525653558707,0.9645545015439497,exp3,arx_nue
2,0.9221801039817088,0.9255105008529985,0.8837823645629492,0.9999491782854659,0.9999654704183571,0.8367374025795005,0.9885497025242759,exp4,arx_nue
3,0.876452035551233,0.8797801563874351,0.8182867567645343,0.9999579939494181,0.9999296926398755,0.763243152422868,0.9804293091458006,exp4,arx_nue
4,0.8467608248789864,0.8491079094411188,0.7765067332165887,0.9998634391100948,0.9998932040236198,0.7194312197102894,0.9749346007221118,exp4,arx_nue
5,0.8248175899525279,0.8257375910015117,0.7461652850696363,0.9998661753848893,0.9998564580454876,0.687103970001819,0.9704099217591976,exp4,arx_nue
6,0.8089191820956958,0.8097799720503086,0.7247788178676011,0.9997695010044635,0.99982129970413,0.6666104963110033,0.9674529743635569,exp4,arx_nue
7,0.7952654431501991,0.7958401744503759,0.7063865298258252,0.9996044120587456,0.9997850159894989,0.6474067566558603,0.9650697386277433,exp4,arx_nue
8,0.7814284346013015,0.7817434136625784,0.6902247476674275,0.9996374232518069,0.9997485590160519,0.6289413332670226,0.9625062085627369,exp4,arx_nue
9,0.7710560504141836,0.7712723436351291,0.6764658567777222,0.9996352256570644,0.9997110553128847,0.6178283920501899,0.9616951303477174,exp4,arx_nue
10,0.7624632539840421,0.7631249677882591,0.665271678503949,0.9993358690593768,0.9996753285349872,0.6074927553320371,0.9602462907003623,exp4,arx_nue
2,0.9476929518869709,0.9500958073019244,0.8574847121827196,0.9999826171245276,0.9999725042124762,0.6399962957942542,0.3672607662157378,exp1,prioprivacy
3,0.9258454960497265,0.9263187609036189,0.804369565369685,0.9999523389082197,0.9999419841997734,0.6298128269595893,0.36228693163890413,exp1,prioprivacy
4,0.9122961317527327,0.9113697047766954,0.7731687791356866,0.9999169069529658,0.9999146603943248,0.623228065458544,0.3592041079361047,exp1,prioprivacy
5,0.9016603550702748,0.8995348655792954,0.7495048824924271,0.9998783968259863,0.9998897985109559,0.6180225085102666,0.35723350514675123,exp1,prioprivacy
6,0.8933490632068313,0.8899723372742429,0.7313097024782628,0.9998378485095859,0.9998657067217311,0.6138568966977511,0.3555055089132034,exp1,prioprivacy
7,0.8867228079481908,0.882267918677361,0.7167433235554037,0.9997979202249186,0.9998444863530359,0.6107358013062927,0.3545943302687151,exp1,prioprivacy
8,0.8807841974326293,0.875197034188537,0.7041617747619233,0.9997561714215453,0.9998246645837205,0.6076815251972105,0.3535893583495432,exp1,prioprivacy
9,0.8751062165540647,0.8692331958557358,0.6926095826184973,0.9997176832815068,0.9998053853277836,0.6037276803540992,0.35146857413269317,exp1,prioprivacy
10,0.8698171847333043,0.863057970019173,0.6818504414143159,0.9996728651011844,0.9997841003461149,0.6012686280656085,0.35087530482044693,exp1,prioprivacy
2,0.8975047091385531,0.9086589338177837,0.8937366789696374,0.9999907303057183,0.9999862523535259,0.8305191178432327,0.9913331415967399,exp2,prioprivacy
3,0.855301740969137,0.8686411221242207,0.8484189462132458,0.9999800446524427,0.9999795397315092,0.7661914302436648,0.9857708125385061,exp2,prioprivacy
4,0.8284596512167628,0.8402429405635917,0.8194863756145124,0.9999665160877095,0.9999726281215743,0.7220424166324723,0.9816098210855149,exp2,prioprivacy
5,0.8039610793075418,0.8190154805397227,0.7961352403743407,0.9999498367943457,0.9999663349486707,0.692421654483342,0.9787248997557442,exp2,prioprivacy
6,0.786399737712648,0.8035614225116252,0.7784603351285138,0.9999347427594206,0.9999611928276196,0.6715633260606604,0.9765780660319293,exp2,prioprivacy
7,0.7717977243870752,0.7904087474669732,0.7636483458623553,0.999918826412906,0.9999560455124717,0.6542989725502428,0.9750550523288968,exp2,prioprivacy
8,0.7584985522622284,0.7782637119178039,0.750817747800155,0.9999040160095184,0.9999526355786581,0.6388890590433576,0.973708290082521,exp2,prioprivacy
